iter	Passed	Remaining
0	188	188460
1	193	96444
2	198	65827
3	201	50159
4	209	41685
5	213	35352
6	217	30829
7	222	27625
8	227	25014
9	230	22855
10	233	20998
11	238	19662
12	242	18376
13	245	17304
14	251	16492
15	254	15645
16	258	14940
17	261	14256
18	269	13902
19	272	13342
20	274	12812
21	278	12384
22	281	11964
23	284	11569
24	286	11166
25	289	10838
26	292	10547
27	296	10285
28	298	10000
29	301	9757
30	305	9545
31	310	9387
32	313	9196
33	317	9010
34	324	8945
35	328	8785
36	331	8640
37	338	8573
38	342	8445
39	346	8327
40	356	8344
41	360	8224
42	373	8306
43	377	8194
44	387	8222
45	402	8350
46	406	8233
47	407	8088
48	411	7977
49	419	7963
50	422	7869
51	429	7833
52	434	7762
53	439	7702
54	449	7730
55	453	7650
56	464	7676
57	472	7678
58	479	7648
59	484	7595
60	497	7664
61	501	7594
62	506	7538
63	515	7541
64	517	7449
65	521	7381
66	526	7328
67	531	7284
68	535	7224
69	545	7246
70	549	7194
71	555	7155
72	559	7110
73	563	7050
74	566	6992
75	571	6946
76	575	6903
77	579	6850
78	583	6808
79	587	6758
80	592	6720
81	618	6924
82	623	6883
83	626	6828
84	641	6901
85	652	6929
86	657	6895
87	672	6965
88	681	6979
89	686	6939
90	696	6961
91	704	6953
92	713	6955
93	716	6906
94	719	6851
95	720	6785
96	731	6811
97	733	6751
98	738	6721
99	743	6691
100	746	6642
101	748	6589
102	750	6535
103	758	6536
104	764	6517
105	766	6467
106	774	6466
107	778	6429
108	781	6390
109	790	6394
110	793	6352
111	795	6309
112	799	6279
113	803	6246
114	805	6200
115	807	6156
116	809	6112
117	812	6074
118	816	6042
119	822	6032
120	826	6007
121	828	5960
122	830	5922
123	834	5892
124	838	5872
125	847	5877
126	848	5832
127	850	5792
128	852	5754
129	855	5724
130	860	5707
131	863	5674
132	865	5641
133	867	5607
134	871	5586
135	875	5564
136	877	5529
137	880	5497
138	882	5464
139	884	5433
140	887	5404
141	889	5372
142	890	5339
143	894	5314
144	896	5284
145	898	5255
146	907	5266
147	914	5262
148	920	5254
149	921	5224
150	924	5197
151	927	5175
152	935	5176
153	938	5155
154	940	5124
155	943	5106
156	948	5095
157	954	5084
158	957	5063
159	965	5066
160	967	5043
161	972	5030
162	983	5049
163	987	5032
164	990	5011
165	994	4994
166	997	4973
167	1001	4962
168	1007	4955
169	1010	4933
170	1013	4913
171	1016	4893
172	1019	4874
173	1027	4879
174	1030	4860
175	1033	4840
176	1037	4822
177	1042	4814
178	1045	4795
179	1048	4777
180	1051	4757
181	1060	4765
182	1063	4745
183	1064	4722
184	1066	4696
185	1069	4679
186	1077	4683
187	1080	4666
188	1089	4674
189	1094	4664
190	1097	4646
191	1102	4639
192	1109	4638
193	1120	4655
194	1125	4647
195	1128	4628
196	1132	4616
197	1136	4605
198	1139	4585
199	1141	4564
200	1143	4546
201	1152	4551
202	1155	4535
