iter	Passed	Remaining
0	2	282
1	4	231
2	6	215
3	7	186
4	10	193
5	12	190
6	13	183
7	15	179
8	17	176
9	18	169
10	20	164
11	21	159
12	23	155
13	24	152
14	26	150
15	28	147
16	29	144
17	31	141
18	32	137
19	33	134
20	34	130
21	35	126
22	37	124
23	38	121
24	39	118
25	40	115
26	41	112
27	42	110
28	43	107
29	45	105
30	46	103
31	47	100
32	48	98
33	49	95
34	50	93
35	51	91
36	52	89
37	53	87
38	54	85
39	55	83
40	56	81
41	57	78
42	57	76
43	59	75
44	59	73
45	60	71
46	61	69
47	62	67
48	63	66
49	64	64
50	65	63
51	67	61
52	68	60
53	69	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	76	46
62	77	45
63	78	43
64	79	42
65	80	41
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	31
73	87	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	16
85	96	15
86	97	14
87	98	13
88	99	12
89	99	11
90	100	9
91	101	8
92	102	7
93	102	6
94	103	5
95	104	4
96	104	3
97	105	2
98	106	1
99	106	0
